internal_row_id,canonical_name,score,city,sector_label,domain_tier,website,normalized_domain,address,google_category,google_maps_url,reviews_count,rating
uae-pilot-0253,IMH Corporate Office,63,Dubai,Healthcare,ae_domain,https://www.imh.ae/,imh.ae,"Office side, 303 - Nesto building - Al Mina St - Dubai - United Arab Emirates",Hospital,https://www.google.com/maps/search/?api=1&query=IMH%20Corporate%20Office&query_place_id=ChIJpSpGP2RDXz4Rq5kH5v7GOo0,2,5.0
uae-pilot-0429,Ultra Care Medical Group,62,Dubai,Healthcare,generic_domain,https://business.google.com/site/l/01466323194045965484,business.google.com,Al Diyafah Street - Al Hudaiba - Dubai - United Arab Emirates,Medical Center,https://www.google.com/maps/search/?api=1&query=Ultra%20Care%20Medical%20Group&query_place_id=ChIJWZvtgUVDXz4RYfIuzzcZMaA,107,4.3
uae-pilot-0300,Mediclinic Al Mamora,81,Abu Dhabi,Healthcare,ae_domain,https://www.mediclinic.ae/en/al-mamora/home.html,mediclinic.ae,Al Hafiz St - near Paragon Hotel Apartments - Al Nahyan - E25 - Abu Dhabi - United Arab Emirates,Medical clinic;Medical Center,https://www.google.com/maps/search/?api=1&query=Mediclinic%20Al%20Mamora&query_place_id=ChIJQypCLSpmXj4RiDssb_0QUR8,720,4.3
uae-pilot-0257,International Knee & Joint Centre,77,Abu Dhabi,Healthcare,ae_domain,http://www.knee.ae/,knee.ae,Intersection with - Hazza Bin Zayed St - Sheikh Fatima Bint Mubarak St - opposite Burjeel Hospital - Abu Dhabi - United Arab Emirates,Hospital,https://www.google.com/maps/search/?api=1&query=International%20Knee%20%26%20Joint%20Centre&query_place_id=ChIJrcgCLjdmXj4RWrx2QKpHZUs,589,4.6
uae-pilot-0115,Beverly Hills Specialty Hospital,76,Abu Dhabi,Healthcare,ae_domain,http://bhsh.ae/,bhsh.ae,"Mohammed Bin Khalif Street 669, Al Mussala, Abu Dhabi, Abu Dhai، 35453 - 669 Mohammed Bin Khalifa St - Abu Dhabi - United Arab Emirates",Hospital,https://www.google.com/maps/search/?api=1&query=Beverly%20Hills%20Specialty%20Hospital&query_place_id=ChIJ8_3iZ4NoXj4Raf-BHjwXi7g,317,4.2
uae-pilot-0134,Central Hospital SEHA Disease Prevention & Screening Center,72,Abu Dhabi,Healthcare,ae_domain,http://www.seha.ae/,seha.ae,F999+HCH - Al Manhal - Al Tibbiya - Abu Dhabi - United Arab Emirates,Medical Center,https://www.google.com/maps/search/?api=1&query=Central%20Hospital%20SEHA%20Disease%20Prevention%20%26%20Screening%20Center&query_place_id=ChIJVV0pVj1mXj4R4Z5LhquT0DQ,95,4.0
uae-pilot-0320,National Hospital Abu Dhabi,68,Abu Dhabi,Healthcare,ae_domain,https://nationalhospital.ae/,nationalhospital.ae,Building 16 Abdullah Bin Humaid Al Rumaithi St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Hospital,https://www.google.com/maps/search/?api=1&query=National%20Hospital%20Abu%20Dhabi&query_place_id=ChIJZXaEJwBnXj4R9EmZnC4k160,44,4.8
uae-pilot-0352,Pivot Engineering & General Contracting Co,78,Abu Dhabi,Construction,ae_domain,https://www.pivot.ae/,pivot.ae,Al Quffal St - Al Bateen - W35 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Pivot%20Engineering%20%26%20General%20Contracting%20Co&query_place_id=ChIJvVV6FvzcDhQRnRNFQ38T5jA,170,3.8
uae-pilot-0141,Civilco Civil Engineering & Contracting Company WLL,76,Abu Dhabi,Construction,ae_domain,http://www.civilco.ae/,civilco.ae,"411 - Sultan Bin Zayed the First St., Opp Madinat Zayed Shopping Centre Madinat Zayed Office Tower, First Floor - Abu Dhabi - United Arab Emirates",Contractor,https://www.google.com/maps/search/?api=1&query=Civilco%20Civil%20Engineering%20%26%20Contracting%20Company%20WLL&query_place_id=ChIJAQAAAJVmXj4RndsyMxmtC-c,50,4.5
uae-pilot-0396,Silver Coast Construction & Boring LLC,75,Abu Dhabi,Construction,ae_domain,http://www.silvercoast.ae/,silvercoast.ae,Sheikh Rashid Bin Saeed Al Maktoum Street - Old Airport Road - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Silver%20Coast%20Construction%20%26%20Boring%20LLC&query_place_id=ChIJd2quwxRmXj4RIBsIZWXAjQs,82,4.4
uae-pilot-0385,Scan Construction,71,Abu Dhabi,Construction,ae_domain,https://www.scanco.ae/,scanco.ae,F9R6+G83 - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Scan%20Construction&query_place_id=ChIJg6SOY2RmXj4RuOHuBjsmLOI,14,4.9
uae-pilot-0027,Aims General Contracting Company,70,Abu Dhabi,Construction,ae_domain,http://www.aimsauh.ae/,aimsauh.ae,Ahmed Al Fahim Tower - Office 301 - Sheikh Rashid Bin Saeed St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Aims%20General%20Contracting%20Company&query_place_id=ChIJ1esU6npmXj4RqRJx1VbUJBY,35,4.3
uae-pilot-0398,Smart Buildings Consultancy Engineering,76,Abu Dhabi,Engineering,ae_domain,https://www.sbc-uae.ae/,sbc-uae.ae,Jazeerat Das St - Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Smart%20Buildings%20Consultancy%20Engineering&query_place_id=ChIJmfPl_bo4Xj4RaRHuaH2b7yI,57,4.6
uae-pilot-0011,ABACUS ENGINEERING CONSULTANCY,71,Abu Dhabi,Engineering,ae_domain,http://www.abacusarchitects.ae/,abacusarchitects.ae,Jumada Al Akhirah St - near Model Indian School - Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=ABACUS%20ENGINEERING%20CONSULTANCY&query_place_id=ChIJmYQoH_lnXj4RpmHYow0_mls,16,4.6
uae-pilot-0170,Double Square Engineering Consultancy,71,Abu Dhabi,Engineering,ae_domain,http://www.doublesquare.ae/,doublesquare.ae,"OFFICE #M2, BLDG 347 - ME9 - Abu Dhabi - United Arab Emirates",Engineering consultant,https://www.google.com/maps/search/?api=1&query=Double%20Square%20Engineering%20Consultancy&query_place_id=ChIJuZ6fBVpHXj4RWq4_Xx4X_Ms,12,5.0
uae-pilot-0200,Ever Win Architectural Engineering Consultancy LLC,71,Abu Dhabi,Engineering,ae_domain,http://everwinec.ae/,everwinec.ae,Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Ever%20Win%20Architectural%20Engineering%20Consultancy%20LLC&query_place_id=ChIJ_zqd-KY4Xj4RvrBS9eofxxU,12,4.5
uae-pilot-0314,Mwazinoon Engineering Consultancy LLC شركة موازنون للاستشارات الهندسية,71,Abu Dhabi,Engineering,ae_domain,http://www.mwazinoon.ae/,mwazinoon.ae,Mohamed Bin Zayed City - ME11 - Abu Dhabi - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Mwazinoon%20Engineering%20Consultancy%20LLC%20%D8%B4%D8%B1%D9%83%D8%A9%20%D9%85%D9%88%D8%A7%D8%B2%D9%86%D9%88%D9%86%20%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9&query_place_id=ChIJtR-N6ro4Xj4R3L9G0PxpwTQ,34,4.6
uae-pilot-0100,Assist Plus,73,Abu Dhabi,Accounting/Audit,ae_domain,https://www.assistplus.ae/,assistplus.ae,C26 - Khalifa Park - ʻAmmar Bin Yasir St - Al Muntazah - Zone 1 - Abu Dhabi - United Arab Emirates,Certified public accountant,https://www.google.com/maps/search/?api=1&query=Assist%20Plus&query_place_id=ChIJT0FT4M1pXj4RCsd8IxSAjQQ,110,4.8
uae-pilot-0018,Accountspro Accounting Tax Consultancy L. L. C - S. P. C,68,Abu Dhabi,Accounting/Audit,ae_domain,http://www.accountspro.ae/,accountspro.ae,50 Salem Bin Thuaylib Al Amri St - Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Accountspro%20Accounting%20Tax%20Consultancy%20L.%20L.%20C%20-%20S.%20P.%20C&query_place_id=ChIJ48HzewA5Xj4RqcN5R9I4kmw,42,5.0
uae-pilot-0434,Vitruvius Accounting Records and Books Keeping Organisation,68,Abu Dhabi,Accounting/Audit,ae_domain,https://www.vitruvius.ae/,vitruvius.ae,"Al Madeena Hypermarket same Building - Office no 13, Lift Button 3 Floor 6 - Al Zahiyah - Abu Dhabi - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=Vitruvius%20Accounting%20Records%20and%20Books%20Keeping%20Organisation&query_place_id=ChIJcYX41iZnXj4RCKbWHc84iok,49,5.0
uae-pilot-0450,Yemnak Management Consultancy L.L.C.,68,Abu Dhabi,Accounting/Audit,ae_domain,https://www.yemnak.ae/,yemnak.ae,Saadiyat Noon Office Building - Al Saadiyat Island - SDW4 - Abu Dhabi - United Arab Emirates,Business management consultant,https://www.google.com/maps/search/?api=1&query=Yemnak%20Management%20Consultancy%20L.L.C.&query_place_id=ChIJSf-Zr-BlXj4R1nB2GJnSFjQ,16,4.9
uae-pilot-0458,Zero Accounting,68,Abu Dhabi,Accounting/Audit,ae_domain,https://zeroaccounting.ae/,zeroaccounting.ae,KHALIFA COMPLEX B - MEZZANINE FLOOR AL-MAIYANI ST - Al Zahiyah - E16 - Abu Dhabi - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Zero%20Accounting&query_place_id=ChIJcdHpJd9nXj4R9FnIcWqLKMI,15,5.0
uae-pilot-0416,TalaweenInteriors,60,Abu Dhabi,Architecture,ae_domain,https://talaween.ae/,talaween.ae,,Interior architect office,https://www.google.com/maps/search/?api=1&query=TalaweenInteriors&query_place_id=ChIJt2VLbtEH0EYRGbMVdBBLswA,,
uae-pilot-0324,Next Architects Engineering Consultancy,56,Abu Dhabi,Architecture,generic_domain,https://next-architects.vercel.app/,next-architects.vercel.app,Mazyad Mall - Office 9-1 - Tower 1 8 Floor - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates,Architect,https://www.google.com/maps/search/?api=1&query=Next%20Architects%20Engineering%20Consultancy&query_place_id=ChIJD4oCVo5HXj4RrSA_lxBi8CM,4,5.0
